Код_ISO_субъекта,Субъект_РФ,Индекс_сложности_трудоустройства_1_10,Индекс_при_других_весах_min,Индекс_при_других_весах_max,Лучшее_место_при_других_весах,Худшее_место_при_других_весах,Требуется_работников_человек,Оценка_безработных_человек,Вакансий_на_одного_безработного_V_U,Вакансий_на_10_тыс_рабочей_силы,Доля_вакантных_мест_в_обследованных_организациях_pct,Уровень_безработицы_окт_дек_2024_pct,Уровень_занятости_окт_дек_2024_pct,Уровень_безработицы_2024_pct,Безработица_плюс_потенциальная_рабочая_сила_2024_pct,Структурное_несовпадение_профгрупп_0_1,Среднее_время_поиска_работы_месяцев,Ищут_работу_12_месяцев_и_более_pct,Официальный_коэффициент_напряженности_2024,Сигнал_недоиспользования_труда_0_1,Сигнал_нехватки_вакансий_0_1,Сигнал_структурного_несовпадения_0_1,Сигнал_длительности_поиска_0_1,Сигнал_низкой_оплаты_0_1,Медианная_зарплата_апрель_2025_руб,Прожиточный_минимум_трудоспособных_2025_руб,Медианная_зарплата_к_прожиточному_минимуму,Зарплатный_запас_после_прожиточного_минимума_руб,Привлекательность_зарплаты_1_10,Рабочая_сила_окт_дек_2024_тыс,Рост_средней_зарплаты_2024_к_2023_pct,Рост_зарплаты_июнь_2026_г_г_pct,Осторожность_при_интерпретации_безработицы,Ограничение_охвата,Внешняя_проверка_Спирмен_rho,Максимальная_корреляция_компонентов_Спирмен_rho,Версия_формулы,Интерпретация_внешней_проверки
RU-STA,Ставропольский край,5.81,5.58,6.0,31,39,29573.03,50738.336,0.5828537617000289,198.17027897800983,7.99,3.4,65.8,3.4,4.0,0.13488336006285756,5.2,11.2,1.5,0.6566265060240963,0.2682926829268293,0.5121951219512195,0.4234630831016373,0.8674698795180723,51257.0,17396.0,2.946481949873534,33861.0,2.19,1492.304,20.8781211463291,13.250232237254188,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-SVE,Свердловская область,4.42,4.29,4.49,61,67,70344.6,30247.377999999997,2.3256429036592863,325.5900065123001,6.98,1.4,67.8,1.8,3.2,0.1142490159926314,4.9,13.9,0.7,0.42771084337349397,0.4268292682926829,0.24390243902439024,0.4589898053753475,0.25301204819277107,74584.0,19136.0,3.8975752508361206,55448.0,7.72,2160.527,21.46528344798737,7.581281249733807,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-TA,Республика Татарстан,4.05,3.75,4.3,66,72,61700.06,37348.956,1.6519888802246574,297.35799844043834,6.78,1.8,68.2,1.8,2.4,0.15543357839365002,4.0,4.8,0.7,0.1746987951807229,0.49390243902439024,0.6829268292682927,0.12716249613839975,0.21686746987951808,72822.0,16430.0,4.432258064516129,56392.0,8.05,2074.942,21.986880383566977,15.864483961149368,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-TAM,Тамбовская область,5.74,5.29,6.13,28,47,9936.93,9409.312999999998,1.056073913153915,200.65404349924378,6.13,1.9,64.8,2.3,2.4,0.1997730819880961,5.5,7.3,0.9,0.1746987951807229,0.6463414634146342,0.9512195121951219,0.3766604881062713,0.7951807228915663,51969.0,16043.0,3.2393567287913734,35926.0,2.84,495.227,21.10605200023421,14.517731980332659,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-TOM,Томская область,5.98,5.81,6.19,28,34,13960.71,17498.151,0.7978391545483862,263.2869210009674,6.89,3.3,64.3,3.3,4.6,0.13136562732191231,4.2,14.5,1.7,0.7771084337349398,0.47560975609756095,0.47560975609756095,0.39952116156935435,0.3493975903614458,69221.0,18942.0,3.654365959244008,50279.0,6.86,530.247,18.575753719654166,9.743234267478895,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-TUL,Тульская область,4.21,3.88,4.56,61,69,23191.06,16712.535000000003,1.38764466312262,291.4053792557503,7.08,2.1,68.4,2.1,2.2,0.1661662982239373,6.3,14.4,0.5,0.12048192771084337,0.4024390243902439,0.7560975609756098,0.6190145196169292,0.3132530120481928,70629.0,19329.0,3.6540431476020485,51300.0,7.18,795.835,24.363223636772947,11.543740979494466,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-TVE,Тверская область,5.36,5.0,5.61,36,52,22025.22,15438.119999999999,1.4266776006404926,342.4026241537182,9.66,2.4,68.3,2.5,4.2,0.13882836878724678,6.4,20.4,0.9,0.6807228915662651,0.12195121951219512,0.573170731707317,0.7396509113376584,0.5542168674698795,61517.0,18942.0,3.247650723260479,42575.0,5.01,643.255,20.299376679170877,10.9614833878239,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-TY,Республика Тыва,8.16,7.81,8.4,5,9,1432.46,6642.0869999999995,0.21566414291170835,109.98871288497124,2.95,5.1,55.3,4.9,5.6,0.12419033187641232,5.5,13.7,4.7,0.8373493975903614,0.9634146341463414,0.4146341463414634,0.5369168983626815,0.8313253012048193,54341.0,19522.0,2.7835775023050915,34819.0,2.52,130.237,16.7975417634894,9.247947144645053,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-TYU,Тюменская область,5.57,5.14,5.74,32,48,72378.25,15044.939999999999,4.8108034993825175,962.1606998765034,5.89,2.0,62.3,2.4,3.6,0.13240292616979057,3.7,1.4,0.7,0.5783132530120482,0.6951219512195121,0.4878048780487805,0.03934970651838122,0.24096385542168675,74798.0,19329.0,3.8697294221118526,55469.0,7.83,752.247,18.58923600429907,7.300448206497578,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-UD,Удмуртская Республика,3.81,3.74,3.88,67,73,26005.67,10127.488,2.567830245762819,359.49623440679466,8.24,1.4,66.4,1.7,2.9,0.1103455701344914,4.7,12.9,0.6,0.3313253012048193,0.25609756097560976,0.2073170731707317,0.38662341674389866,0.43373493975903615,63543.0,17202.0,3.6939309382629926,46341.0,6.1,723.392,24.628411414630904,18.6704242363243,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-ULY,Ульяновская область,4.46,4.22,4.64,58,67,13353.99,10609.812,1.2586452992758024,226.55615386964445,6.49,1.8,64.6,2.1,2.5,0.1197631775857835,2.8,2.4,0.8,0.21084337349397592,0.5365853658536586,0.35365853658536583,0.03730305838739574,0.6867469879518072,55894.0,17202.0,3.249273340309266,38692.0,3.82,589.434,21.301129996065214,12.08586348013414,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-VGG,Волгоградская область,4.72,4.56,5.1,50,60,30501.71,28367.790000000005,1.0752233430944036,236.54913548076885,7.91,2.2,66.7,2.4,2.6,0.1394232956103894,6.5,22.0,1.2,0.2469879518072289,0.2926829268292683,0.5853658536585366,0.7991967871485943,0.6746987951807228,55370.0,16623.0,3.3309270288154966,38747.0,3.93,1289.445,20.253136171255992,9.704143369504582,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-VLA,Владимирская область,3.33,3.16,3.67,76,81,21748.45,13573.143999999998,1.6023148358258046,304.43981880690285,8.89,1.9,69.5,1.9,2.3,0.0954194433529988,5.8,18.3,0.6,0.14457831325301204,0.2073170731707317,0.12195121951219512,0.6503707136237257,0.5301204819277109,62037.0,18749.0,3.3088164702117444,43288.0,5.23,714.376,21.607226814439162,12.783396118013446,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-VLG,Вологодская область,4.98,4.65,5.22,44,57,20947.42,10922.16,1.9178825433796975,383.5765086759396,8.95,2.0,63.2,2.5,3.6,0.16221654876144037,5.9,12.9,0.8,0.5783132530120482,0.18292682926829268,0.7073170731707317,0.5342137781896819,0.37349397590361444,68275.0,19522.0,3.4973363384899088,48753.0,6.64,546.108,20.67066046509527,5.90987767812039,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-VOR,Воронежская область,6.22,6.04,6.49,19,28,26084.56,26906.176000000003,0.9694636651451324,213.28200633192918,6.99,2.2,68.8,2.6,4.0,0.1521587120407355,7.6,25.3,1.4,0.6566265060240963,0.4146341463414634,0.6707317073170732,0.9097544022242817,0.4819277108433735,61652.0,17009.0,3.6246692927273796,44643.0,5.66,1223.008,18.60039916467855,13.256515986486317,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-YAN,Ямало-Ненецкий автономный округ,3.69,3.39,4.18,65,79,17998.01,3604.3200000000006,4.993455076130864,599.2146091357038,5.65,1.2,75.9,1.3,1.9,0.10173956788958467,1.8,,0.3,0.05421686746987952,0.7926829268292683,0.15853658536585366,0.25301204819277107,0.012048192771084338,142990.0,26480.0,5.3999244712990935,116510.0,9.89,300.36,,,Для части показателей длительности поиска нет опубликованного значения; использован нейтральный процентиль.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-YAR,Ярославская область,6.28,5.92,6.41,23,31,15095.72,16426.696000000004,0.9189748200124965,238.93345320324912,5.73,2.6,69.2,3.1,3.4,0.17071789156153816,4.1,3.1,1.0,0.4879518072289157,0.7439024390243902,0.7926829268292683,0.11901451961692924,0.5662650602409639,61847.0,19329.0,3.199699932743546,42518.0,4.9,631.796,19.02524309571827,16.57188140372925,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-YEV,Еврейская автономная область,5.1,4.79,5.58,38,58,2849.94,1573.92,1.8107273559011894,362.1454711802379,9.89,2.0,69.8,2.7,4.7,0.10569143030480356,7.8,34.8,0.4,0.8012048192771084,0.06097560975609756,0.18292682926829268,0.9664813098548038,0.42168674698795183,70535.0,24161.0,2.9193741980878274,46374.0,6.2,78.696,18.326612425666177,11.687432989767244,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-ZAB,Забайкальский край,5.24,4.94,5.8,34,54,19031.93,22306.815,0.8531890366240094,383.93506648080415,9.8,4.5,63.9,5.0,7.0,0.09563713888635644,9.5,49.6,1.3,0.891566265060241,0.09146341463414634,0.13414634146341464,1.0,0.2891566265060241,74389.0,22615.0,3.2893654653990714,51774.0,7.4,495.707,23.301978285132606,14.476024527727006,Все пять компонентов опубликованы; стандартные ошибки региона в сборнике не приведены.,Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
RU-SEV,Севастополь,6.48,6.24,6.69,17,27,,7590.000000000001,,,,2.5,63.0,2.6,3.4,,7.1,13.2,2.2,0.4879518072289157,,,0.6803367315415508,0.8433734939759037,54532.0,19716.0,2.7658754311219313,34816.0,2.41,303.6,21.452426298754478,5.981042802487191,"Индекс рассчитан по трём доступным официальным компонентам из пяти; профессиональный срез 1-Т(проф) для города неполон, поэтому его два компонента исключены, а веса доступных показателей пропорционально пересчитаны.",Вакансии относятся к организациям без субъектов малого предпринимательства; показатели населения — к выборочному обследованию рабочей силы.,0.695,0.321,4.1: 34% широкое недоиспользование труда + 30% нехватка вакансий + 13% профессиональное несовпадение + 8% длительность поиска + 15% малый абсолютный запас медианной зарплаты после прожиточного минимума,Сильное согласование с официальным коэффициентом напряжённости: ρ=0.69.
